,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Adventure'}),frozenset({'Action'}),0.10471976401179942,0.16139907290349767,0.05351875263379688,0.511066398390342,3.1664766667892468,0.03661707980761939,1.7151632130327636
1,frozenset({'Action'}),frozenset({'Adventure'}),0.16139907290349767,0.10471976401179942,0.05351875263379688,0.33159268929503916,3.1664766667892468,0.03661707980761939,1.339423165560472
2,frozenset({'Drama'}),frozenset({'Biography'}),0.5090602612726507,0.10303413400758533,0.05773282764433207,0.11341059602649005,1.1007089749319463,0.005282244466429373,1.011703796562873
3,frozenset({'Biography'}),frozenset({'Drama'}),0.10303413400758533,0.5090602612726507,0.05773282764433207,0.5603271983640081,1.1007089749319463,0.005282244466429373,1.116602475524064
4,frozenset({'Romance'}),frozenset({'Comedy'}),0.13253265908133166,0.2827644332069111,0.06468605141171513,0.48807631160572335,1.726088058778512,0.027210529185177607,1.401059538859792
5,frozenset({'Comedy'}),frozenset({'Romance'}),0.2827644332069111,0.13253265908133166,0.06468605141171513,0.22876304023845007,1.7260880587785117,0.027210529185177607,1.1247740787563796
6,frozenset({'Crime'}),frozenset({'Drama'}),0.10745891276864729,0.5090602612726507,0.05941845764854614,0.5529411764705882,1.0861998441760807,0.004715395438463575,1.0981546787322285
7,frozenset({'Drama'}),frozenset({'Crime'}),0.5090602612726507,0.10745891276864729,0.05941845764854614,0.11672185430463575,1.0861998441760807,0.004715395438463575,1.0104870041007254
8,frozenset({'Romance'}),frozenset({'Drama'}),0.13253265908133166,0.5090602612726507,0.09565950273914876,0.7217806041335453,1.4178686867623367,0.028192392680046932,1.7645776894828724
9,frozenset({'Drama'}),frozenset({'Romance'}),0.5090602612726507,0.13253265908133166,0.09565950273914876,0.1879139072847682,1.4178686867623367,0.028192392680046932,1.068196277094548
